journal_name	category	citations	if_2022	jci	percentageOAGold
CA-A CANCER JOURNAL FOR CLINICIANS	ONCOLOGY - SCIE(Q1)	61124	286.130	76.09	98.80
LANCET	MEDICINE, GENERAL & INTERNAL - SCIE(Q1)	403221	202.731	21.81	22.12
NEW ENGLAND JOURNAL OF MEDICINE	MEDICINE, GENERAL & INTERNAL - SCIE(Q1)	506069	176.079	22.26	0.00
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION	MEDICINE, GENERAL & INTERNAL - SCIE(Q1)	242479	157.335	10.32	1.49
NATURE REVIEWS MOLECULAR CELL BIOLOGY	CELL BIOLOGY - SCIE(Q1)	66072	113.915	8.39	2.16
NATURE REVIEWS DRUG DISCOVERY	"PHARMACOLOGY & PHARMACY - SCIE(Q1); BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE(Q1)"	47615	112.288	9.68	1.69
NATURE REVIEWS IMMUNOLOGY	IMMUNOLOGY - SCIE(Q1)	67751	108.555	7.56	1.08
Lancet Respiratory Medicine	"RESPIRATORY SYSTEM - SCIE(Q1); CRITICAL CARE MEDICINE - SCIE(Q1)"	29214	102.642	13.47	12.74
BMJ-British Medical Journal	MEDICINE, GENERAL & INTERNAL - SCIE(Q1)	183681	93.333	7.15	81.91
NATURE MEDICINE	"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE(Q1); CELL BIOLOGY - SCIE(Q1); BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q1)"	141857	87.241	12.60	10.26
Lancet Microbe	"INFECTIOUS DISEASES - SCIE(Q1); MICROBIOLOGY - SCIE(Q1)"	3096	86.208	5.70	89.16
World Psychiatry	"PSYCHIATRY - SCIE(Q1); PSYCHIATRY - SSCI(Q1)"	11951	79.683	8.52	1.61
NATURE REVIEWS MICROBIOLOGY	MICROBIOLOGY - SCIE(Q1)	51100	78.297	5.75	5.26
Lancet Psychiatry	"PSYCHIATRY - SCIE(Q1); PSYCHIATRY - SSCI(Q1)"	21986	77.056	7.35	22.90
Nature Reviews Materials	"NANOSCIENCE & NANOTECHNOLOGY - SCIE(Q1); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)"	27820	76.679	4.04	1.22
Nature Reviews Gastroenterology & Hepatology	GASTROENTEROLOGY & HEPATOLOGY - SCIE(Q1)	21962	73.082	7.24	5.44
Lancet Public Health	"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q1); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI(Q1)"	10449	72.427	10.02	99.42
CHEMICAL REVIEWS	CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1)	243908	72.087	4.03	17.89
LANCET INFECTIOUS DISEASES	INFECTIOUS DISEASES - SCIE(Q1)	52835	71.421	6.96	21.18
NATURE REVIEWS CANCER	ONCOLOGY - SCIE(Q1)	66699	69.800	7.95	0.70
